time,resultDescription
2025-07-02T11:29:43.9482507Z,"2025-07-02 11:29:43,944 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: default | Search Mode: "
2025-07-02T11:30:58.4668247Z,"2025-07-02 11:30:58,462 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: default | Search Mode: "
2025-07-02T11:34:04.2076998Z,"2025-07-02 11:34:04,206 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-07-02T11:34:53.703557Z,"2025-07-02 11:34:51,838 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-02T11:37:03.8796178Z,"2025-07-02 11:37:03,875 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-02T11:37:52.7527853Z,"2025-07-02 11:37:52,752 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-07-02T11:54:04.0032924Z,"2025-07-02 11:54:03,982 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-02T12:10:52.9607722Z,"2025-07-02 12:10:52,883 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-07-02T12:15:09.8967944Z,"2025-07-02 12:15:09,889 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-07-02T12:52:48.1573952Z,"2025-07-02 12:52:48,142 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-02T12:55:16.4729076Z,"2025-07-02 12:55:16,472 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-07-02T12:55:19.5250417Z,"2025-07-02 12:55:19,524 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-07-02T12:56:05.6028023Z,"2025-07-02 12:56:05,601 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-02T13:15:45.3792527Z,"2025-07-02 13:15:45,365 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-07-02T13:18:23.5974573Z,"2025-07-02 13:18:23,597 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-02T13:35:06.2274235Z,"2025-07-02 13:35:06,211 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-07-02T13:37:04.2794181Z,"2025-07-02 13:37:04,273 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-02T13:37:08.1936546Z,"2025-07-02 13:37:08,191 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-07-02T13:45:19.3474597Z,"2025-07-02 13:45:19,326 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-07-02T13:46:55.9409466Z,"2025-07-02 13:46:55,940 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-02T13:47:42.8321684Z,"2025-07-02 13:47:42,832 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-07-02T13:47:55.8305054Z,"2025-07-02 13:47:55,824 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-07-02T13:49:05.3787947Z,"2025-07-02 13:49:05,368 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
