time,resultDescription
2025-05-06T11:29:51.2872226Z,"2025-05-06 11:29:51,287 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-06T11:30:49.6921534Z,"2025-05-06 11:30:49,686 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-05-06T11:32:56.5493254Z,"2025-05-06 11:32:56,549 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-06T11:33:28.803862Z,"2025-05-06 11:33:28,801 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-06T11:34:35.7113532Z,"2025-05-06 11:34:35,711 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-06T11:35:15.0273248Z,"2025-05-06 11:35:15,027 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-06T11:35:38.1889611Z,"2025-05-06 11:35:38,185 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-06T11:37:54.3950225Z,"2025-05-06 11:37:54,394 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-06T11:43:24.5527012Z,"2025-05-06 11:43:24,552 - INFO - src.routes.routes - Model: gpt-4o | Use Database: True | Relevant Documents: 10 | Mode: default | Search Mode: database"
2025-05-06T11:55:57.7078199Z,"2025-05-06 11:55:57,686 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-06T12:00:54.7554003Z,"2025-05-06 12:00:54,755 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-06T12:00:59.156417Z,"2025-05-06 12:00:59,144 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-06T12:02:16.8843022Z,"2025-05-06 12:02:16,884 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-06T12:41:50.2717059Z,"2025-05-06 12:41:49,815 - INFO - src.routes.routes - Model: gpt-4o | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-05-06T13:51:08.488605Z,"2025-05-06 13:51:06,937 - INFO - src.routes.routes - Model: gpt-4o | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-05-06T14:04:02.1204339Z,"2025-05-06 14:04:02,097 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-06T14:15:56.7033313Z,"2025-05-06 14:15:56,684 - INFO - src.routes.routes - Model: gpt-4o | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-05-06T14:27:41.0486553Z,"2025-05-06 14:27:41,016 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-06T14:48:31.6037234Z,"2025-05-06 14:48:31,598 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: default | Search Mode: database"
2025-05-06T14:53:07.5113889Z,"2025-05-06 14:53:06,561 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: default | Search Mode: database"
2025-05-06T16:03:07.4747285Z,"2025-05-06 16:03:07,425 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-06T16:16:04.0087179Z,"2025-05-06 16:16:04,008 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-05-06T16:27:13.3174799Z,"2025-05-06 16:27:13,307 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-05-06T16:28:26.8971461Z,"2025-05-06 16:28:26,897 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-05-06T16:32:01.4756681Z,"2025-05-06 16:32:01,462 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-05-06T16:33:44.2170689Z,"2025-05-06 16:33:44,217 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-05-06T16:35:05.957232Z,"2025-05-06 16:35:05,957 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-05-06T16:35:30.2287216Z,"2025-05-06 16:35:30,228 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-05-06T16:54:05.626284Z,"2025-05-06 16:54:05,606 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-05-07T04:50:19.0686586Z,"2025-05-07 04:50:19,013 - INFO - src.routes.routes - Model: gpt-4o | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-05-07T04:51:00.9634406Z,"2025-05-07 04:51:00,963 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-05-07T05:50:09.71385Z,"2025-05-07 05:50:09,644 - INFO - src.routes.routes - Model: gpt-4o | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-05-07T05:52:07.9648655Z,"2025-05-07 05:52:07,964 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-07T06:40:57.9586864Z,"2025-05-07 06:40:57,938 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-07T06:45:01.9794273Z,"2025-05-07 06:45:01,978 - INFO - src.routes.routes - Model: gpt-4o | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-05-07T07:53:43.3427697Z,"2025-05-07 07:53:43,273 - INFO - src.routes.routes - Model: sonar-reasoning | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-07T08:28:39.8740848Z,"2025-05-07 08:28:39,839 - INFO - src.routes.routes - Model: sonar-reasoning | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-07T08:35:03.1073622Z,"2025-05-07 08:35:03,104 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-05-07T08:56:31.9381757Z,"2025-05-07 08:56:31,919 - INFO - src.routes.routes - Model: sonar-reasoning | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-07T08:59:21.1355162Z,"2025-05-07 08:59:21,127 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
